start_lat,start_lng,end_lat,end_lng,distance_meters,slope_percent,has_stairs,surface,is_closed
47.65669,-122.304706,47.656759,-122.304733,8,1.5,false,paved,false
47.656759,-122.304733,47.656808,-122.304747,6,1.5,false,paved,false
47.656808,-122.304747,47.656856,-122.304748,5,1.5,false,paved,false
47.656856,-122.304748,47.656913,-122.304741,6,1.5,false,paved,false
47.656913,-122.304741,47.656968,-122.304727,6,1.5,false,paved,false
47.656968,-122.304727,47.657042,-122.304701,8,1.5,false,paved,false
47.657042,-122.304701,47.657108,-122.304666,8,1.5,false,paved,false
47.657108,-122.304666,47.657201,-122.30463,11,1.5,false,paved,false
47.657201,-122.30463,47.657267,-122.304603,8,1.5,false,paved,false
47.657267,-122.304603,47.657283,-122.304582,2,1.5,false,paved,false
47.655749,-122.304374,47.65575,-122.304468,7,1.5,false,paved,false
47.655632,-122.304368,47.655749,-122.304374,13,1.5,false,paved,false
47.65563,-122.304264,47.655632,-122.304368,8,1.5,false,paved,false
47.656193,-122.304492,47.656206,-122.304375,9,1.5,false,paved,false
47.657091,-122.304674,47.657159,-122.304397,22,1.5,false,paved,false
47.657268,-122.304603,47.657293,-122.304755,12,1.5,false,paved,false
47.657265,-122.304772,47.657293,-122.304755,3,1.5,false,paved,false
47.657233,-122.304918,47.657265,-122.304772,11,1.5,false,paved,false
47.657213,-122.304781,47.657267,-122.30477,6,1.5,false,paved,false
47.657095,-122.304811,47.657213,-122.304781,13,1.5,false,paved,false
47.657,-122.304863,47.657095,-122.304811,11,1.5,false,paved,false
47.656926,-122.304877,47.657,-122.304863,8,1.5,false,paved,false
47.656829,-122.304883,47.656926,-122.304877,11,1.5,false,paved,false
47.65676,-122.304862,47.656829,-122.304883,8,1.5,false,paved,false
47.656641,-122.304819,47.65676,-122.304862,14,1.5,false,paved,false
47.656449,-122.304749,47.656641,-122.304819,22,1.5,false,paved,false
47.656288,-122.30469,47.656449,-122.304749,18,1.5,false,paved,false
47.656053,-122.304658,47.656288,-122.30469,26,1.5,false,paved,false
47.65598,-122.304644,47.656053,-122.304658,8,1.5,false,paved,false
47.655872,-122.3046,47.65598,-122.304644,12,1.5,false,paved,false
47.655746,-122.304582,47.655872,-122.3046,14,1.5,false,paved,false
47.655619,-122.304579,47.655746,-122.304582,14,1.5,false,paved,false
47.655529,-122.304585,47.655619,-122.304579,10,1.5,false,paved,false
47.655337,-122.304604,47.655529,-122.304585,21,1.5,false,paved,false
47.655211,-122.304628,47.655337,-122.304604,14,1.5,false,paved,false
47.655128,-122.304648,47.655211,-122.304628,9,1.5,false,paved,false
47.655051,-122.304668,47.655128,-122.304648,9,1.5,false,paved,false
47.65497,-122.304729,47.655051,-122.304668,10,1.5,false,paved,false
47.654874,-122.304827,47.65497,-122.304729,13,1.5,false,paved,false
47.654764,-122.30495,47.654874,-122.304827,15,1.5,false,paved,false
47.654648,-122.30504,47.654764,-122.30495,15,1.5,false,paved,false
47.654574,-122.305096,47.654648,-122.30504,9,1.5,false,paved,false
47.654505,-122.305136,47.654574,-122.305096,8,1.5,false,paved,false
47.654434,-122.305162,47.654505,-122.305136,8,1.5,false,paved,false
47.654289,-122.3052,47.654434,-122.305162,16,1.5,false,paved,false
47.654235,-122.305197,47.654289,-122.3052,6,1.5,false,paved,false
47.653666,-122.3052,47.654235,-122.305197,63,1.5,false,paved,false
47.653644,-122.305218,47.653666,-122.3052,3,1.5,false,paved,false
47.653522,-122.30525,47.653644,-122.305218,14,1.5,false,paved,false
47.653458,-122.30525,47.653522,-122.30525,7,1.5,false,paved,false
47.653391,-122.305258,47.653458,-122.30525,7,1.5,false,paved,false
47.653211,-122.305344,47.653391,-122.305258,21,1.5,false,paved,false
47.653036,-122.305455,47.653211,-122.305344,21,1.5,false,paved,false
47.652991,-122.30548,47.653036,-122.305455,5,1.5,false,paved,false
47.656512,-122.304771,47.656519,-122.304639,10,1.5,false,paved,false
47.656176,-122.304669,47.656193,-122.3045,13,1.5,false,paved,false
47.655753,-122.30447,47.655754,-122.304582,8,1.5,false,paved,false
47.655316,-122.30461,47.65532,-122.304653,3,1.5,false,paved,false
47.655238,-122.304681,47.65532,-122.304653,9,1.5,false,paved,false
47.655238,-122.304724,47.655238,-122.304681,3,1.5,false,paved,false
47.655125,-122.304744,47.655236,-122.304724,12,1.5,false,paved,false
47.655038,-122.304773,47.655125,-122.304744,10,1.5,false,paved,false
47.654977,-122.304913,47.655038,-122.304773,12,1.5,false,paved,false
47.65491,-122.30515,47.654977,-122.304913,19,1.5,false,paved,false
47.65491,-122.30515,47.654927,-122.305162,2,1.5,false,paved,false
47.65487,-122.305086,47.654918,-122.305116,6,1.5,false,paved,false
47.65487,-122.305086,47.654911,-122.304889,15,1.5,false,paved,false
47.654894,-122.304881,47.654911,-122.304889,2,1.5,false,paved,false
47.654773,-122.305078,47.654894,-122.304881,20,1.5,false,paved,false
47.654723,-122.305034,47.654773,-122.305078,6,1.5,false,paved,false
47.654719,-122.305044,47.654763,-122.304954,8,1.5,false,paved,false
47.654585,-122.305394,47.654719,-122.305044,30,1.5,false,paved,false
47.655083,-122.304546,47.655095,-122.304653,8,1.5,false,paved,false
47.654948,-122.304622,47.654985,-122.304717,8,1.5,false,paved,false
47.654699,-122.304849,47.654736,-122.304968,10,1.5,false,paved,false
47.654567,-122.304946,47.65461,-122.305067,10,1.5,false,paved,false
47.654407,-122.305048,47.654422,-122.305163,9,1.5,false,paved,false
47.654027,-122.305087,47.654029,-122.305197,8,1.5,false,paved,false
47.653654,-122.305093,47.653667,-122.305198,8,1.5,false,paved,false
47.653639,-122.305257,47.653643,-122.305223,3,1.5,false,paved,false
47.653639,-122.305304,47.653639,-122.305257,4,1.5,false,paved,false
47.653639,-122.305304,47.653667,-122.305341,4,1.5,false,paved,false
47.653667,-122.305341,47.653865,-122.305456,24,1.5,false,paved,false
47.653865,-122.305456,47.654214,-122.305715,43,1.5,false,paved,false
47.653906,-122.305481,47.654044,-122.305199,26,1.5,false,paved,false
47.654027,-122.305233,47.654108,-122.305634,31,1.5,false,paved,false
47.654132,-122.305752,47.654157,-122.305678,6,1.5,false,paved,false
47.653721,-122.305874,47.653856,-122.305453,35,1.5,false,paved,false
47.653522,-122.305251,47.653573,-122.30564,30,1.5,false,paved,false
47.653573,-122.30564,47.653803,-122.306389,62,1.5,false,paved,false
47.653263,-122.308159,47.653803,-122.306389,146,1.5,false,paved,false
47.653492,-122.305535,47.653553,-122.305481,8,1.5,false,paved,false
47.653714,-122.306372,47.653803,-122.306389,10,1.5,false,paved,false
47.65371,-122.306327,47.653712,-122.306423,7,1.5,false,paved,false
47.652823,-122.305636,47.653555,-122.30719,142,1.5,false,paved,false
47.653223,-122.306466,47.653452,-122.306279,29,1.5,false,paved,false
47.653413,-122.306203,47.653452,-122.306279,7,1.5,false,paved,false
47.652811,-122.305783,47.652839,-122.305683,8,1.5,false,paved,false
47.652809,-122.305859,47.652811,-122.305783,6,1.5,false,paved,false
47.652809,-122.305859,47.652844,-122.305963,9,1.5,false,paved,false
47.652844,-122.305963,47.652883,-122.306018,6,1.5,false,paved,false
47.652883,-122.306018,47.652943,-122.306125,10,1.5,false,paved,false
47.652943,-122.306125,47.65301,-122.306246,12,1.5,false,paved,false
47.65301,-122.306246,47.653052,-122.306341,9,1.5,false,paved,false
47.653052,-122.306341,47.65307,-122.306405,5,1.5,false,paved,false
47.65307,-122.306405,47.653082,-122.306502,7,1.5,false,paved,false
47.653082,-122.306502,47.65309,-122.306628,9,1.5,false,paved,false
47.65309,-122.306628,47.653127,-122.306727,8,1.5,false,paved,false
47.653127,-122.306727,47.65322,-122.306858,14,1.5,false,paved,false
47.65322,-122.306858,47.653309,-122.306975,13,1.5,false,paved,false
47.653309,-122.306975,47.653341,-122.307032,6,1.5,false,paved,false
47.653341,-122.307032,47.653357,-122.307075,4,1.5,false,paved,false
47.653357,-122.307075,47.65336,-122.307132,4,1.5,false,paved,false
47.653343,-122.307183,47.65336,-122.307132,4,1.5,false,paved,false
47.653279,-122.306786,47.653338,-122.306736,8,1.5,false,paved,false
47.653215,-122.306869,47.653279,-122.306786,9,1.5,false,paved,false
47.653167,-122.306964,47.653215,-122.306869,9,1.5,false,paved,false
47.65314,-122.30704,47.653167,-122.306964,6,1.5,false,paved,false
47.65228,-122.306574,47.652314,-122.306471,9,1.5,false,paved,false
47.65228,-122.306574,47.652281,-122.306625,4,1.5,false,paved,false
47.652223,-122.306824,47.652281,-122.306625,16,1.5,false,paved,false
47.652192,-122.306877,47.652223,-122.306824,5,1.5,false,paved,false
47.652156,-122.306944,47.652192,-122.306877,6,1.5,false,paved,false
47.652137,-122.307007,47.652156,-122.306944,5,1.5,false,paved,false
47.6521,-122.307196,47.652137,-122.307007,15,1.5,false,paved,false
47.652069,-122.307446,47.6521,-122.307196,19,1.5,false,paved,false
47.652067,-122.307621,47.652069,-122.307446,13,1.5,false,paved,false
47.652067,-122.307621,47.652071,-122.307796,13,1.5,false,paved,false
47.652071,-122.307796,47.652092,-122.308106,23,1.5,false,paved,false
47.652092,-122.308106,47.652106,-122.3083,15,1.5,false,paved,false
47.652106,-122.3083,47.652119,-122.308387,7,1.5,false,paved,false
47.652119,-122.308387,47.652204,-122.308838,35,1.5,false,paved,false
47.652204,-122.308838,47.652301,-122.309137,25,1.5,false,paved,false
47.652301,-122.309137,47.652389,-122.309359,19,1.5,false,paved,false
47.652389,-122.309359,47.652494,-122.309607,22,1.5,false,paved,false
47.652494,-122.309607,47.652617,-122.309801,20,1.5,false,paved,false
47.652617,-122.309801,47.652759,-122.30998,21,1.5,false,paved,false
47.652759,-122.30998,47.652922,-122.310145,22,1.5,false,paved,false
47.652922,-122.310145,47.653069,-122.31026,18,1.5,false,paved,false
47.653069,-122.31026,47.653223,-122.310333,18,1.5,false,paved,false
47.653223,-122.310333,47.653346,-122.310345,14,1.5,false,paved,false
47.653346,-122.310345,47.653766,-122.310338,47,1.5,false,paved,false
47.653766,-122.310338,47.654046,-122.310341,31,1.5,false,paved,false
47.654046,-122.310341,47.654177,-122.310316,15,1.5,false,paved,false
47.654177,-122.310316,47.654294,-122.310316,13,1.5,false,paved,false
47.654294,-122.310316,47.654618,-122.310299,36,1.5,false,paved,false
47.654618,-122.310299,47.654751,-122.310328,15,1.5,false,paved,false
47.654751,-122.310328,47.654936,-122.310317,21,1.5,false,paved,false
47.652161,-122.30522,47.652251,-122.30536,14,1.5,false,paved,false
47.653157,-122.307725,47.653218,-122.307684,7,1.5,false,paved,false
47.653114,-122.30775,47.653157,-122.307725,5,1.5,false,paved,false
47.653044,-122.307747,47.653114,-122.30775,8,1.5,false,paved,false
47.652977,-122.307725,47.653044,-122.307747,8,1.5,false,paved,false
47.652868,-122.307699,47.652977,-122.307725,12,1.5,false,paved,false
47.652784,-122.307681,47.652868,-122.307699,9,1.5,false,paved,false
47.652709,-122.307666,47.652784,-122.307681,8,1.5,false,paved,false
47.652635,-122.307623,47.652709,-122.307666,9,1.5,false,paved,false
47.652572,-122.307572,47.652635,-122.307623,8,1.5,false,paved,false
47.652476,-122.307519,47.652572,-122.307572,11,1.5,false,paved,false
47.652415,-122.307494,47.652476,-122.307519,7,1.5,false,paved,false
47.652338,-122.307494,47.652415,-122.307494,9,1.5,false,paved,false
47.652244,-122.307524,47.652338,-122.307494,11,1.5,false,paved,false
47.65215,-122.307557,47.652244,-122.307524,11,1.5,false,paved,false
47.6521,-122.307575,47.65215,-122.307557,6,1.5,false,paved,false
47.652076,-122.307575,47.6521,-122.307575,3,1.5,false,paved,false
47.652145,-122.306605,47.652218,-122.306417,16,1.5,false,paved,false
47.652094,-122.306776,47.652145,-122.306605,14,1.5,false,paved,false
47.652068,-122.306904,47.652094,-122.306776,10,1.5,false,paved,false
47.652044,-122.307052,47.652068,-122.306904,11,1.5,false,paved,false
47.65202,-122.307232,47.652044,-122.307052,14,1.5,false,paved,false
47.652008,-122.307366,47.65202,-122.307232,10,1.5,false,paved,false
47.651998,-122.307488,47.652008,-122.307366,9,1.5,false,paved,false
47.651988,-122.30765,47.651998,-122.307488,12,1.5,false,paved,false
47.651987,-122.307879,47.651988,-122.30765,17,1.5,false,paved,false
47.651987,-122.307879,47.65199,-122.308026,11,1.5,false,paved,false
47.65199,-122.308026,47.651995,-122.308124,7,1.5,false,paved,false
47.651995,-122.308124,47.652001,-122.308163,3,1.5,false,paved,false
47.652001,-122.308163,47.652008,-122.308256,7,1.5,false,paved,false
47.652008,-122.308256,47.652045,-122.308484,18,1.5,false,paved,false
47.652045,-122.308484,47.652067,-122.308602,9,1.5,false,paved,false
47.652067,-122.308602,47.652107,-122.308804,16,1.5,false,paved,false
47.652107,-122.308804,47.652145,-122.308956,12,1.5,false,paved,false
47.652145,-122.308956,47.652196,-122.309141,15,1.5,false,paved,false
47.652196,-122.309141,47.652245,-122.309269,11,1.5,false,paved,false
47.652245,-122.309269,47.652443,-122.309697,39,1.5,false,paved,false
47.652443,-122.309697,47.652565,-122.309886,20,1.5,false,paved,false
47.652565,-122.309886,47.652734,-122.310104,25,1.5,false,paved,false
47.652734,-122.310104,47.652841,-122.31025,16,1.5,false,paved,false
47.652841,-122.31025,47.652913,-122.310327,10,1.5,false,paved,false
47.652913,-122.310327,47.652959,-122.310385,7,1.5,false,paved,false
47.652959,-122.310385,47.653007,-122.310447,7,1.5,false,paved,false
47.653007,-122.310447,47.653071,-122.310486,8,1.5,false,paved,false
47.653071,-122.310486,47.653153,-122.3105,9,1.5,false,paved,false
47.653153,-122.3105,47.653377,-122.31049,25,1.5,false,paved,false
47.653377,-122.31049,47.653521,-122.310485,16,1.5,false,paved,false
47.653521,-122.310485,47.653844,-122.310485,36,1.5,false,paved,false
47.653844,-122.310485,47.653955,-122.310491,12,1.5,false,paved,false
47.653955,-122.310491,47.654002,-122.310506,5,1.5,false,paved,false
